date_pm25,time_pm25,PM25,PM10,AQI_PM25,AQI_PM10,AQI_US
2023-10-11,00:00:00,31.71705975501311,39.03557164132116,92.25476085818208,36.14404781603811,92.25476085818208
2023-10-11,01:00:00,65.55852987750656,77.81778582066059,156.19355072705818,62.2936515678017,156.19355072705818
2023-10-11,02:00:00,99.4,116.6,173.66701791359327,81.48888888888888,173.66701791359327
2023-10-11,03:00:00,66.4,78.8,156.62802950474185,62.779797979797976,156.62802950474185
2023-10-11,04:00:00,50.2,65.59,137.1959798994975,56.24151515151515,137.1959798994975
2023-10-11,05:00:00,50.1,65.5,136.9497487437186,56.196969696969695,136.9497487437186
2023-10-11,06:00:00,48.2,62.4,132.2713567839196,54.66262626262626,132.2713567839196
2023-10-11,07:00:00,62.5,75.9,154.61433087460486,61.34444444444445,154.61433087460486
2023-10-11,08:00:00,63.15,76.2,154.949947312961,61.4929292929293,154.949947312961
2023-10-11,09:00:00,70.8,82.3,158.89989462592203,64.51212121212122,158.89989462592203
2023-10-11,10:00:00,75.84,88.2,161.5022128556375,67.43232323232323,161.5022128556375
2023-10-11,11:00:00,87.4,102.8,167.47102212855637,74.65858585858587,167.47102212855637
2023-10-11,12:00:00,101.2,123.9,174.5964172813488,85.10202020202021,174.5964172813488
2023-10-11,13:00:00,99.85,120.3,173.89936775553213,83.32020202020202,173.89936775553213
2023-10-11,14:00:00,109.35,131.85,178.804531085353,89.03686868686869,178.804531085353
2023-10-11,15:00:00,107.75,131.25,177.97839831401475,88.73989898989899,177.97839831401475
2023-10-11,16:00:00,112.5,137.3,180.4309799789252,91.73434343434344,180.4309799789252
2023-10-11,17:00:00,110.35,135.94,179.3208640674394,91.06121212121212,179.3208640674394
2023-10-11,18:00:00,112.3,136.52,180.3277133825079,91.34828282828283,180.3277133825079
2023-10-11,19:00:00,111.9,137.1,180.12118018967334,91.63535353535354,180.12118018967334
2023-10-11,20:00:00,112.2,136.4,180.27608008429928,91.28888888888889,180.27608008429928
2023-10-11,21:00:00,100.6,121.0,174.28661749209695,83.66666666666667,174.28661749209695
2023-10-11,22:00:00,111.2,136.9,179.75974710221286,91.53636363636363,179.75974710221286
2023-10-11,23:00:00,100.6,121.55,174.28661749209695,83.9388888888889,174.28661749209695
2023-10-12,00:00:00,112.2,134.85,180.27608008429928,90.52171717171717,180.27608008429928
2023-10-12,01:00:00,77.4,91.5,162.30769230769232,69.06565656565657,162.30769230769232
2023-10-12,02:00:00,67.3,79.0,157.0927291886196,62.878787878787875,157.0927291886196
2023-10-12,03:00:00,55.8,71.25,151.1548998946259,59.042929292929294,151.1548998946259
2023-10-12,04:00:00,52.2,68.4,142.1206030150754,57.63232323232324,142.1206030150754
2023-10-12,05:00:00,51.4,66.65,140.15075376884423,56.76616161616162,140.15075376884423
2023-10-12,06:00:00,51.4,66.59,140.15075376884423,56.73646464646465,140.15075376884423
2023-10-12,07:00:00,55.1,70.34,149.26130653266333,58.592525252525256,149.26130653266333
2023-10-12,08:00:00,68.8,80.2,157.8672286617492,63.472727272727276,157.8672286617492
2023-10-12,09:00:00,68.75,79.84,157.8414120126449,63.29454545454546,157.8414120126449
2023-10-12,10:00:00,72.7,84.4,159.8809272918862,65.55151515151516,159.8809272918862
2023-10-12,11:00:00,77.59,89.0,162.40579557428873,67.82828282828282,162.40579557428873
2023-10-12,12:00:00,94.8,112.7,171.29188619599577,79.55858585858586,171.29188619599577
2023-10-12,13:00:00,101.8,121.0,174.90621707060063,83.66666666666667,174.90621707060063
2023-10-12,14:00:00,97.7,114.65,172.78925184404636,80.52373737373738,172.78925184404636
2023-10-12,15:00:00,109.4,130.75,178.83034773445732,88.49242424242425,178.83034773445732
2023-10-12,16:00:00,110.8,135.19,179.5532139093783,90.69,179.5532139093783
2023-10-12,17:00:00,97.7,118.4,172.78925184404636,82.37979797979798,172.78925184404636
2023-10-12,18:00:00,102.2,123.5,175.1127502634352,84.90404040404042,175.1127502634352
2023-10-12,19:00:00,109.8,132.55,179.0368809272919,89.38333333333334,179.0368809272919
2023-10-12,20:00:00,107.5,128.9,177.84931506849315,87.57676767676767,177.84931506849315
2023-10-12,21:00:00,101.45,120.8,174.7255005268704,83.56767676767677,174.7255005268704
2023-10-12,22:00:00,106.6,128.75,177.3846153846154,87.50252525252526,177.3846153846154
2023-10-12,23:00:00,110.1,131.375,179.1917808219178,88.80176767676768,179.1917808219178
2023-10-13,00:00:00,113.6,134.0,180.99894625922022,90.1010101010101,180.99894625922022
2023-10-13,01:00:00,57.5,73.4,152.03266596417282,60.10707070707071,152.03266596417282
2023-10-13,02:00:00,53.25,69.59,144.70603015075378,58.22131313131313,144.70603015075378
2023-10-13,03:00:00,54.55,70.7,147.9070351758794,58.770707070707076,147.9070351758794
2023-10-13,04:00:00,48.9,64.15,133.99497487437185,55.52878787878788,133.99497487437185
2023-10-13,05:00:00,41.6,52.8,116.02010050251256,48.888888888888886,116.02010050251256
2023-10-13,06:00:00,46.15,58.8,127.22361809045226,52.88080808080808,127.22361809045226
2023-10-13,07:00:00,45.0,57.35,124.39195979899498,52.163131313131316,124.39195979899498
2023-10-13,08:00:00,45.7,58.1,126.11557788944725,52.534343434343434,126.11557788944725
2023-10-13,09:00:00,68.15,79.59,157.53161222339304,63.17080808080809,157.53161222339304
2023-10-13,10:00:00,71.15,82.7,159.08061116965226,64.71010101010101,159.08061116965226
2023-10-13,11:00:00,69.9,82.1,158.43519494204426,64.41313131313132,158.43519494204426
2023-10-13,12:00:00,72.7,85.2,159.8809272918862,65.94747474747476,159.8809272918862
